datetime,Residential,General,Educational,Industrial,Agricultural,Streetlights,Other,Total Electricity Usage
2014-07-01,"5,237,635,610","8,776,261,658","606,282,099","23,664,672,847","1,008,949,422","227,286,671","450,613,043","39,971,701,350"
2014-08-01,"5,856,657,372","9,456,073,659","558,727,073","22,283,915,711","1,198,255,065","240,542,245","413,962,518","40,008,133,643"
2014-09-01,"5,363,562,961","8,422,184,009","547,601,022","21,943,967,620","1,175,605,262","256,570,288","428,870,979","38,138,362,141"
2014-10-01,"4,946,641,298","7,469,583,175","503,941,233","23,032,234,283","994,512,154","278,318,848","566,791,278","37,792,022,269"
2014-11-01,"5,303,457,677","7,625,327,560","572,030,310","22,294,005,398","1,437,069,807","301,701,505","1,168,863,537","38,702,455,794"
2014-12-01,"5,574,494,022","9,077,317,197","846,723,714","23,542,589,028","1,350,235,707","313,291,118","1,885,789,858","42,590,440,644"
2015-01-01,"6,113,614,517","10,229,183,116","834,998,767","23,805,537,458","1,618,369,800","321,611,047","2,468,185,293","45,391,499,998"
2015-02-01,"5,771,866,896","9,597,428,086","752,559,472","21,452,958,410","1,594,580,740","300,271,499","2,308,642,751","41,778,307,854"
2015-03-01,"5,193,110,568","8,386,619,976","729,976,832","22,981,996,461","1,373,444,273","277,303,103","1,890,330,718","40,832,781,931"
2015-04-01,"5,403,655,993","8,031,987,159","655,537,346","22,936,960,631","1,244,784,605","269,040,763","1,495,559,237","40,037,525,734"
2015-05-01,"5,019,203,620","7,469,694,768","503,693,981","22,668,517,343","1,030,728,377","251,298,805","909,166,830","37,852,303,724"
2015-06-01,"5,105,952,144","8,015,309,967","548,766,759","22,753,623,373","1,086,077,724","240,575,880","556,387,609","38,306,693,456"
2015-07-01,"5,215,496,715","8,743,695,728","593,293,287","23,088,073,433","1,029,804,286","236,154,020","447,915,848","39,354,433,317"
2015-08-01,"6,383,429,989","10,077,231,876","592,098,507","22,862,535,064","1,322,171,274","252,009,344","413,752,655","41,903,228,709"
2015-09-01,"5,529,379,941","8,959,848,498","617,570,889","22,599,217,514","1,317,518,974","267,563,179","387,992,898","39,679,091,893"
2015-10-01,"4,973,064,025","7,575,387,937","502,854,916","22,478,567,285","1,071,623,562","289,267,011","536,803,195","37,427,567,931"
2015-11-01,"5,323,699,378","7,719,461,268","576,509,891","22,328,288,578","1,570,361,948","310,184,693","1,008,814,056","38,837,319,812"
2015-12-01,"5,560,647,093","8,814,895,100","779,950,758","23,257,445,611","1,382,869,500","321,312,024","1,630,917,146","41,748,037,232"
2016-01-01,"5,955,024,501","10,047,622,161","789,406,811","23,736,486,301","1,612,854,042","328,911,073","2,129,653,397","44,599,958,286"
2016-02-01,"6,076,089,047","10,239,105,841","803,390,391","22,054,391,572","1,698,785,483","311,397,098","2,356,684,142","43,539,843,574"
2016-03-01,"5,425,531,914","8,907,015,094","753,731,570","23,513,874,903","1,476,264,001","289,939,982","1,850,631,356","42,216,988,820"
2016-04-01,"5,418,051,357","8,061,934,796","630,587,748","23,059,011,321","1,300,983,890","281,793,400","1,344,406,368","40,096,768,880"
2016-05-01,"5,060,751,064","7,607,907,060","514,631,104","22,891,240,915","1,055,555,143","263,071,320","819,260,249","38,212,416,855"
2016-06-01,"5,172,475,131","8,410,529,428","591,041,340","23,559,587,234","1,126,846,728","252,338,880","531,399,812","39,644,218,553"
2016-07-01,"5,508,094,872","9,364,873,517","659,100,138","23,225,330,908","1,123,489,373","246,376,415","438,180,665","40,565,445,888"
2016-08-01,"7,167,286,324","10,959,367,769","661,844,887","23,429,378,478","1,501,558,074","262,257,881","403,265,945","44,384,959,358"
2016-09-01,"6,159,293,450","9,610,943,551","656,350,548","22,666,407,281","1,439,818,937","276,876,629","367,636,701","41,177,327,097"
2016-10-01,"5,092,045,745","7,940,592,154","531,591,518","23,085,560,107","1,103,407,034","295,378,216","476,803,153","38,525,377,927"
2016-11-01,"5,395,801,028","8,125,688,114","647,493,112","23,124,786,987","1,592,211,726","317,112,670","1,025,773,378","40,228,867,015"
2016-12-01,"5,600,118,930","9,289,747,553","837,165,590","24,306,989,141","1,484,181,418","332,394,014","1,653,116,093","43,503,712,739"
2017-01-01,"5,986,340,562","10,268,678,359","810,657,015","24,126,796,969","1,645,354,514","338,139,819","1,989,724,012","45,165,691,250"
2017-02-01,"6,079,906,830","10,427,394,371","806,391,700","22,819,216,920","1,750,079,328","319,503,824","2,188,376,496","44,390,869,469"
2017-03-01,"5,267,397,158","8,952,652,011","764,627,880","24,070,578,902","1,501,146,386","296,486,005","1,677,287,090","42,530,175,432"
2017-04-01,"5,508,888,054","8,344,852,100","664,041,938","23,274,113,379","1,368,124,575","290,888,080","1,332,769,682","40,783,677,808"
2017-05-01,"5,093,232,983","7,729,972,402","510,180,591","23,232,617,466","1,131,505,575","271,521,819","751,572,850","38,720,603,686"
2017-06-01,"5,179,307,124","8,455,967,901","585,856,197","23,421,542,677","1,239,273,362","262,279,968","503,601,923","39,647,829,152"
2017-07-01,"5,910,439,466","9,950,298,992","708,844,087","24,696,306,883","1,234,040,845","256,163,853","426,914,446","43,183,008,572"
2017-08-01,"7,176,182,321","11,064,624,142","678,896,602","24,299,397,475","1,457,223,102","267,587,814","383,929,091","45,327,840,547"
2017-09-01,"5,843,231,396","9,548,595,080","660,241,443","24,246,819,793","1,355,533,957","284,011,505","371,298,545","42,309,731,719"
2017-10-01,"5,148,378,855","7,938,674,136","506,396,277","22,834,979,200","1,138,461,379","303,390,709","475,116,230","38,345,396,786"
2017-11-01,"5,464,853,334","8,313,568,125","646,989,181","23,843,154,154","1,706,860,111","324,206,386","965,895,824","41,265,527,115"
2017-12-01,"5,859,200,938","10,247,288,021","969,881,050","24,953,724,844","1,656,028,376","336,507,910","1,726,897,816","45,749,528,955"
2018-01-01,"6,330,353,691","11,455,489,652","961,505,726","25,306,170,276","1,834,156,225","342,027,689","2,099,065,341","48,328,768,600"
2018-02-01,"6,421,782,069","11,585,582,658","931,860,391","23,287,141,693","1,933,918,917","324,073,014","2,232,532,544","46,716,891,286"
2018-03-01,"5,491,561,612","9,217,356,312","763,059,977","23,940,128,393","1,562,516,140","299,352,055","1,635,289,667","42,909,264,156"
2018-04-01,"5,619,560,650","8,585,216,781","660,764,612","24,274,697,124","1,395,640,932","294,761,566","1,175,414,209","42,006,055,874"
2018-05-01,"5,265,342,836","8,095,879,655","549,175,060","24,382,178,579","1,170,952,989","271,694,824","771,583,757","40,506,807,700"
2018-06-01,"5,430,357,156","8,932,706,499","601,773,429","24,023,134,289","1,252,542,808","263,731,910","516,922,804","41,021,168,895"
2018-07-01,"6,055,923,549","10,144,510,603","703,605,466","25,126,867,214","1,288,395,190","257,547,039","427,705,860","44,004,554,921"
2018-08-01,"8,848,132,686","12,333,677,017","737,537,559","25,108,607,251","1,815,030,129","275,827,915","383,842,111","49,502,654,668"
2018-09-01,"6,591,747,532","10,164,552,224","697,198,162","24,108,668,161","1,522,533,252","285,405,223","331,787,687","43,701,892,241"
2018-10-01,"5,283,569,420","8,051,592,489","527,980,077","24,075,807,696","1,211,748,668","304,067,187","497,954,960","39,952,720,497"
2018-11-01,"5,610,438,624","8,442,433,884","649,984,790","24,069,099,358","1,789,390,015","324,325,817","991,390,418","41,877,062,906"
2018-12-01,"5,918,462,588","9,863,358,419","889,983,166","25,149,851,555","1,655,860,700","334,374,278","1,476,296,538","45,288,187,244"
2019-01-01,"6,446,642,335","11,368,991,405","961,780,993","25,646,608,715","1,911,745,118","342,283,745","1,933,721,997","48,611,774,308"
