datetime,TotalPopulation,BusanPopulation,ChungcheongbukPopulation,ChungcheongnamPopulation,DaeguPopulation,DaejeonPopulation,GangwonPopulation,GwanguPopulation,GyeonggiPopulation,GyeongsangbukPopulation,GyeongsangnamPopulation,InchenPopulation,JejuPopulation,JeollanamPopulation,JeonbukPopulation,SeoulPopulation,UlsanPopulation
2007-05-01,49301213.57226981,3589789.822837023,1507595.2693285772,1996838.6570352241,2494894.81590529,1476625.98867266,1504791.4331982376,1414370.2196330177,11113488.819762677,2683121.078441075,3199047.940184708,2666322.077386064,559624.477723576,1931100.6075767446,1863497.3366525432,10199389.209162625,1100715.8187697718
2007-06-01,49309288.27049931,3590377.769206421,1507842.187730174,1997165.7051624455,2495303.4371398007,1476867.8348340914,1505037.8923792797,1414601.8693609007,11115309.019753594,2683560.5279282536,3199571.889695623,2666758.775483282,559716.1346717936,1931416.8889322558,1863802.5457448687,10201059.695222128,1100896.097254397
2007-07-01,49317364.291226715,3590965.8118714103,1508089.1465727952,1997492.8068545745,2495712.125299503,1477109.7206058009,1505284.391926134,1414833.5570290599,11117129.517862238,2684000.049389766,3200095.9250205345,2667195.5451042023,559807.8066318567,1931733.2220892606,1864107.80482524,10202730.454878772,1101076.4052655648
2007-08-01,49325441.63466862,3591553.9508477626,1508336.1458630646,1997819.9621203837,2496120.8803953584,1477351.6459942758,1505530.9318454114,1415065.282643709,11118950.314137435,2684439.6428374005,3200620.046173498,2667632.3862605407,559899.4936062238,1932049.6070562436,1864413.1139018445,10204401.488177361,1101256.7428081103
2007-09-01,49333520.30104168,3592142.1861512526,1508583.1856076065,1998147.1709686478,2496529.7024383293,1477593.611006005,1505777.5121437244,1415297.0462110634,11120771.408628019,2684879.308282947,3201144.2531685713,2668069.298964013,559991.1955973543,1932366.04384169,1864718.4729828706,10206072.795162715,1101437.1098868712
2007-10-01,49341600.29056254,3592730.517797655,1508830.2658130464,1998474.4334081423,2496938.5914393803,1477835.615647477,1506024.132827686,1415528.8477373382,11122592.801382829,2685319.045738197,3201668.5460198116,2668506.2832263364,560082.9126077073,1932682.5324540865,1865023.8820765074,10207744.375879657,1101617.506506684
2007-11-01,49349681.60344794,3593318.945802751,1509077.3864860118,1998801.749447645,2497347.547409479,1478077.659925184,1506270.7939039108,1415760.6872287511,11124414.49245072,2685758.8552149455,3202192.9247412826,2668943.339059232,560174.644639743,1932999.072901922,1865329.3411909472,10209416.230373021,1101797.9326723875
2007-12-01,49357764.2399146,3593907.4701823224,1509324.54763313,1999129.1190959346,2497756.570359593,1478319.743845617,1506517.4953790149,1415992.5646915203,11126236.481880551,2686198.7367249876,3202717.3893470485,2669380.4664744213,560266.3916959217,1933315.6651936863,1865634.850334382,10211088.358687649,1101978.3883888212
2008-01-01,49540367.0,3564577.0,1519587.0,2018537.0,2492724.0,1480895.0,1508575.0,1422702.0,11292264.0,2673931.0,3225255.0,2692696.0,560618.0,1919000.0,1855772.0,10200827.0,1112407.0
2008-02-01,49548480.867483556,3565160.81693888,1519835.8824426297,2018867.6019458566,2493132.2656918764,1481137.5453527032,1508822.0788647772,1422935.014331456,11294113.480317442,2674368.9443090153,3225783.2417804995,2693137.017696084,560709.8196702276,1919314.2994822979,1856075.9438138942,10202497.721545132,1112589.1933007839
2008-03-01,49556596.06388027,3565744.729497021,1520084.8056479604,2019198.2580386756,2493540.598250713,1481380.1304302,1509069.19819686,1423168.0668266867,11295963.263548227,2674806.9603458415,3226311.5700779967,2693578.107623348,560801.6543789519,1919628.6504414922,1856379.937408603,10204168.71672597,1112771.4164417244
2008-04-01,49564712.58940779,3566328.737690083,1520333.7696226677,2019528.9682873248,2493948.9976874604,1481622.7552389964,1509316.3580028757,1423401.1574919426,11297813.349741966,2675245.0481222263,3226839.9849066604,2694019.269793621,560893.5041286355,1919943.052886014,1856683.9807922794,10205839.985587327,1112953.6694277083
2008-05-01,49572830.44428382,3566912.841533731,1520582.77437343,2019859.7327006748,2494357.464013073,1481865.4197856002,1509563.5582894543,1423634.286333476,11299663.738948284,2675683.2076499206,3227368.4862806653,2694460.5042187367,560985.3689217423,1920257.5068242964,1856988.0739730787,10207511.528174032,1113135.9522636244
2008-06-01,49580949.628726065,3567497.0410436294,1520831.8199069246,2020190.5512875959,2494765.997238505,1482108.124076519,1509810.7990632248,1423867.4533575382,11301514.431216802,2676121.4389406745,3227897.0742141833,2694901.8109105276,561077.2487607358,1920572.012264772,1857292.216959156,10209183.344530912,1113318.264954361
2008-07-01,49589070.14295229,3568081.3362354473,1521080.9062298317,2020521.4240569612,2495174.597374715,1482350.8681182628,1510058.080330819,1424100.658570384,11303365.426597163,2676559.7420062423,3228425.7487213933,2695343.189880831,561169.1436480805,1920886.569215877,1857596.4097586693,10210855.434702808,1113500.6075048079
2008-08-01,49597191.98718031,3568665.727124856,1521330.0333488316,2020852.3510176453,2495583.2644326603,1482593.651917342,1510305.4020988687,1424333.9019782674,11305216.725139009,2676998.11685838,3228954.509816474,2695784.641141485,561261.0535862411,1921201.1776860475,1857900.6523797768,10212527.798734566,1113682.9799198557
2008-09-01,49605315.16162794,3569250.213727529,1521579.2012706066,2021183.3321785238,2495991.998423303,1482836.4754802685,1510552.7643740077,1424567.1835874447,11307068.326891994,2677436.5635088445,3229483.3575136075,2696226.164704329,561352.9785776825,1921515.837683722,1858204.9448306388,10214200.436671041,1113865.3822043962
2008-10-01,49613439.66651304,3569834.796059142,1521828.4100018383,2021514.3675484727,2496400.799357604,1483079.3388135543,1510800.1671628696,1424800.5034041721,11308920.231905775,2677875.0819693943,3230012.2918269765,2696667.760581204,561444.9186248702,1921830.5492173387,1858509.2871194158,10215873.34855709,1114047.8143633206
