week_range,CO,Nox,Sox,TSP,PM-10,VOCs,NH3
2005-08-07~2005-08-13,813371700.3461539,1287793353.0769231,431131477.96153843,88521914.42307693,65823782.365384616,778918428.5961539,240325507.09615386
2005-08-14~2005-08-20,814160554.6153846,1287182680.6923077,431862745.15384614,88509428.3076923,65774787.538461536,779644138.6153846,240105391.6153846
2005-08-21~2005-08-27,814949408.8846154,1286572008.3076923,432594012.34615386,88496942.1923077,65725792.711538464,780369848.6346154,239885276.1346154
2005-08-28~2005-09-03,815738263.1538461,1285961335.9230769,433325279.53846157,88484456.07692307,65676797.884615384,781095558.6538461,239665160.65384614
2005-09-04~2005-09-10,816527117.4230769,1285350663.5384614,434056546.7307692,88471969.96153846,65627803.057692304,781821268.6730769,239445045.17307693
2005-09-11~2005-09-17,817315971.6923077,1284739991.1538463,434787813.9230769,88459483.84615384,65578808.23076923,782546978.6923077,239224929.69230768
2005-09-18~2005-09-24,818104825.9615384,1284129318.7692308,435519081.11538464,88446997.73076923,65529813.40384615,783272688.7115384,239004814.21153846
2005-09-25~2005-10-01,818893680.2307693,1283518646.3846154,436250348.3076923,88434511.61538461,65480818.57692308,783998398.7307693,238784698.73076922
2005-10-02~2005-10-08,819682534.5,1282907974.0,436981615.5,88422025.5,65431823.75,784724108.75,238564583.25
2005-10-09~2005-10-15,820471388.7692307,1282297301.6153846,437712882.6923077,88409539.38461539,65382828.92307692,785449818.7692307,238344467.76923078
2005-10-16~2005-10-22,821260243.0384616,1281686629.2307692,438444149.88461536,88397053.26923077,65333834.09615385,786175528.7884616,238124352.28846154
