Week_Num,datetime,Article_Num,Polution,Enviroment_Polution,Biodiversity_Loss,Acid_Rain,Water_Pollution,Climate_Crisis,Accelerated_Global_Warming,Ozone_Layer_Depletion,Hazardous_Substance_Leakage,Carbon_Dioxide,Weekly_News_Count,News_Ratio,tempmax,tempmin,temp,dew,humidity,precip,windspeed,sealevelpressure,moonphase,abnormal_weather_count
48,2000-11-26,13,2.777833588789042,-0.4098442999852685,-0.4098442999852685,-0.18215302221567492,-0.4098442999852685,-0.4098442999852685,-0.4098442999852685,-0.4098442999852685,-0.4098442999852685,0.27322953332351235,35643,0.0003647279970821,48.98571428571428,28.985714285714288,40.1,28.285714285714285,65.34285714285714,0.0951428571428571,9.771428571428572,1024.3857142857144,0.7542857142857143,0.0
49,2000-12-03,26,2.7893619221084296,-0.39241973809130004,-0.39241973809130004,-0.39241973809130004,-0.28636034941797567,-0.39241973809130004,-0.39241973809130004,-0.39241973809130004,-0.39241973809130004,0.24393659394864592,35643,0.0007294559941643,46.74285714285714,26.814285714285717,37.21428571428572,23.11428571428572,59.5,0.0038571428571428,9.642857142857142,1025.3714285714286,0.1342857142857142,0.0
50,2000-12-10,15,2.8302389325077453,-0.3516864945719684,-0.3516864945719684,-0.3516864945719684,-0.3516864945719684,-0.3516864945719684,-0.3516864945719684,-0.3516864945719684,-0.3516864945719684,-0.016746975931998507,35643,0.0004208399966332,46.31428571428571,24.042857142857144,36.67142857142857,23.1,59.92857142857143,0.0207142857142857,10.828571428571427,1023.3857142857142,0.36,0.0
51,2000-12-17,18,2.8352757401790805,-0.34576533416818056,-0.34576533416818056,-0.34576533416818056,-0.34576533416818056,-0.34576533416818056,-0.34576533416818056,-0.34576533416818056,-0.34576533416818056,-0.06915306683363612,35643,0.0005050079959599,38.3,20.02857142857143,29.7,16.62857142857143,60.72857142857142,0.0407142857142857,11.6,1027.0857142857144,0.5985714285714286,0.0
52,2000-12-24,14,2.812230053490317,-0.36681261567265006,-0.36681261567265006,-0.36681261567265006,-0.36681261567265006,-0.36681261567265006,-0.36681261567265006,-0.36681261567265006,-0.36681261567265006,0.12227087189088336,35643,0.0003927839968577,40.65714285714286,25.642857142857142,34.08571428571428,25.028571428571432,70.95714285714286,0.1488571428571428,11.785714285714286,1020.6285714285714,0.84,0.0
53,2000-12-31,14,2.82842712474619,-0.35355339059327373,-0.35355339059327373,0.0,-0.35355339059327373,-0.35355339059327373,-0.35355339059327373,-0.35355339059327373,-0.35355339059327373,-0.35355339059327373,36968,0.0003787059078121,32.6,13.55714285714286,23.185714285714283,11.7,63.0,0.0124285714285714,10.971428571428572,1027.4857142857145,0.2214285714285714,0.0
54,2001-01-07,5,2.7890090406041046,-0.3803194146278324,-0.3803194146278324,0.253546276418555,-0.3803194146278324,-0.3803194146278324,-0.3803194146278324,-0.3803194146278324,-0.3803194146278324,-0.3803194146278324,36968,0.0001352521099329,28.571428571428573,11.7,20.75714285714286,9.271428571428572,63.0,0.1424285714285714,10.757142857142856,1025.5428571428572,0.3057142857142857,0.0
55,2001-01-14,13,2.846049894151542,-0.316227766016838,-0.316227766016838,-0.316227766016838,-0.316227766016838,-0.316227766016838,-0.316227766016838,-0.316227766016838,-0.316227766016838,-0.316227766016838,36968,0.0003516554858255,32.1,7.871428571428571,18.242857142857144,7.414285714285714,63.42857142857143,0.0532857142857142,12.814285714285717,1021.7857142857144,0.5428571428571428,0.0
56,2001-01-21,10,2.8361583014717326,-0.34457998055264044,-0.34457998055264044,-0.34457998055264044,-0.34457998055264044,-0.34457998055264044,-0.34457998055264044,-0.34457998055264044,-0.34457998055264044,-0.07951845705060935,36968,0.0002705042198658,27.057142857142857,7.442857142857143,18.77142857142857,10.928571428571429,72.28571428571429,0.0212857142857142,8.257142857142858,1027.9,0.7871428571428571,0.0
57,2001-01-28,11,2.7534175875110107,-0.42360270577092474,-0.42360270577092474,0.3706523675495591,-0.1588510146640968,-0.42360270577092474,-0.42360270577092474,-0.42360270577092474,-0.42360270577092474,-0.42360270577092474,36968,0.0002975546418524,36.9,19.085714285714285,28.571428571428573,19.585714285714285,69.94285714285715,0.0151428571428571,10.971428571428572,1022.4714285714286,0.3071428571428571,0.0
58,2001-02-04,13,2.82848306618516,-0.3735732351565305,-0.3735732351565305,-0.3735732351565305,-0.3735732351565305,-0.3735732351565305,-0.10673521004472299,-0.10673521004472299,-0.3735732351565305,-0.3735732351565305,36968,0.0003516554858255,35.18571428571429,15.314285714285717,25.82857142857143,16.8,69.64285714285714,0.0234285714285714,10.471428571428572,1023.0285714285714,0.2557142857142857,0.0
59,2001-02-11,15,2.837352436784972,-0.35701785628420174,-0.35701785628420174,-0.35701785628420174,-0.16911372139777978,-0.35701785628420174,-0.35701785628420174,-0.35701785628420174,-0.35701785628420174,-0.16911372139777978,36968,0.0004057563297987,35.542857142857144,18.914285714285715,27.857142857142858,15.87142857142857,63.24285714285715,0.0061428571428571,10.714285714285714,1026.242857142857,0.4942857142857143,0.0
60,2001-02-18,9,2.5845613469362183,-0.4818673697677695,-0.4818673697677695,-0.04380612452434272,-0.4818673697677695,-0.4818673697677695,-0.4818673697677695,-0.4818673697677695,-0.4818673697677695,0.8323163659625109,36968,0.0002434537978792,32.25714285714286,17.02857142857143,25.228571428571428,12.585714285714284,60.91428571428571,0.1358571428571428,10.5,1026.571428571429,0.7300000000000001,0.0
61,2001-02-25,13,2.545103341793445,-0.49795500165523937,-0.49795500165523937,0.8852533362759811,-0.49795500165523937,-0.49795500165523937,-0.49795500165523937,-0.49795500165523937,-0.49795500165523937,0.0553283335172488,36968,0.0003516554858255,43.98571428571428,27.214285714285715,35.57142857142857,28.7,77.65714285714286,0.0621428571428571,10.642857142857142,1020.4857142857144,0.5328571428571428,0.0
62,2001-03-04,16,2.8047828298620696,-0.39053938137319955,-0.39053938137319955,-0.39053938137319955,-0.21302148074901794,-0.39053938137319955,-0.39053938137319955,-0.39053938137319955,-0.39053938137319955,0.14201432049934526,36968,0.0004328067517853,45.614285714285714,29.485714285714288,36.65714285714286,28.5,73.89999999999999,0.116,11.44285714285714,1019.5285714285714,0.1999999999999999,0.0
63,2001-03-11,17,2.627426647219072,-0.451588954990778,-0.451588954990778,-0.24632124817678802,-0.451588954990778,-0.451588954990778,-0.451588954990778,-0.451588954990778,-0.451588954990778,0.780017285893162,36968,0.0004598571737719,40.91428571428571,24.285714285714285,33.44285714285714,19.61428571428572,57.771428571428565,0.0,14.685714285714283,1018.6142857142858,0.4414285714285714,0.0
64,2001-03-18,25,2.744059812284285,-0.4467074113020929,-0.4467074113020929,0.19144603341518268,-0.4467074113020929,-0.4467074113020929,-0.4467074113020929,-0.4467074113020929,-0.4467074113020929,0.19144603341518268,36968,0.0006762605496645,52.85714285714285,30.37142857142857,41.25714285714286,27.314285714285717,59.15714285714286,0.0138571428571428,10.857142857142858,1018.0142857142856,0.6771428571428572,0.0
65,2001-03-25,40,2.479849686239564,-0.49947502514365777,-0.49947502514365777,-0.1489662355691611,-0.4118478277500336,-0.49947502514365777,-0.49947502514365777,-0.49947502514365777,-0.49947502514365777,1.0778145279415774,36822,0.0010863070990168,62.771428571428565,36.55714285714286,50.71428571428572,30.585714285714285,50.271428571428565,0.0038571428571428,12.2,1010.157142857143,0.7614285714285715,0.0
66,2001-04-01,31,2.5992903557536913,-0.44335721787103094,-0.44335721787103094,-0.44335721787103094,-0.3564244300531817,-0.44335721787103094,-0.44335721787103094,-0.44335721787103094,-0.44335721787103094,0.8606345993967072,35945,0.0008624287105299,49.5,28.785714285714285,39.271428571428565,24.314285714285717,57.31428571428571,0.0442857142857142,13.828571428571427,1016.0285714285714,0.1442857142857143,0.0
67,2001-04-08,21,2.7990867775589097,-0.4360386437403327,-0.4360386437403327,-0.15472338971431163,-0.29538101672732214,-0.4360386437403327,-0.4360386437403327,-0.29538101672732214,-0.4360386437403327,0.1265918643117095,35945,0.0005842259006815,61.471428571428575,37.44285714285714,50.65714285714286,35.44285714285714,59.81428571428571,0.0038571428571428,11.37142857142857,1017.9,0.3928571428571428,0.0
