datetime,CO,Nox,Sox,TSP,PM-10,VOCs,NH3
2009-10-25,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-11-01,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-11-08,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-11-15,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-11-22,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-11-29,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-12-06,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-12-13,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-12-20,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-12-27,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2010-01-03,14735937.076923076,20407875.096153848,7725797.423076923,3415403.6346153845,2246298.4615384615,16660726.307692308,5572422.480769231
2010-01-10,14735937.076923076,20407875.096153848,7725797.423076923,3415403.6346153845,2246298.4615384615,16660726.307692308,5572422.480769231
2010-01-17,14735937.076923076,20407875.096153848,7725797.423076923,3415403.6346153845,2246298.4615384615,16660726.307692308,5572422.480769231
2010-01-24,14735937.076923076,20407875.096153848,7725797.423076923,3415403.6346153845,2246298.4615384615,16660726.307692308,5572422.480769231
2010-01-31,14735937.076923076,20407875.096153848,7725797.423076923,3415403.6346153845,2246298.4615384615,16660726.307692308,5572422.480769231
2010-02-07,14735937.076923076,20407875.096153848,7725797.423076923,3415403.6346153845,2246298.4615384615,16660726.307692308,5572422.480769231
2010-02-14,14735937.076923076,20407875.096153848,7725797.423076923,3415403.6346153845,2246298.4615384615,16660726.307692308,5572422.480769231
2010-02-21,14735937.076923076,20407875.096153848,7725797.423076923,3415403.6346153845,2246298.4615384615,16660726.307692308,5572422.480769231
